date,title,url,summary
"Sun, 29 Sep 2024 01:37:21 EST","Bama blows 28-0 lead, escapes UGA on late TD",https://www.espn.com/college-football/story/_/id/41502998/alabama-blows-28-0-lead-escapes-georgia-late-touchdown,"In a wild finish, Alabama needed a go-ahead 75-yard TD and a game-saving interception to take down Georgia."
"Sun, 29 Sep 2024 03:39:43 EST",Freshman Williams' dramatic TD catch saves Tide,https://www.espn.com/college-football/story/_/id/41505417/ryan-williams-saves-alabama-dramatic-td-catch-vs-georgia,"Ryan Williams' 75-yard touchdown catch, complete with an electrifying spin move and dash to the end zone, helped Alabama hold on for a thrilling 41-34 win over Georgia."
"Sun, 29 Sep 2024 03:38:25 EST",Texas overcomes sloppy start to nab 1st SEC win,https://www.espn.com/college-football/story/_/id/41501184/no-1-texas-overcomes-sloppy-start-nab-first-sec-win,"Texas overcomes slow start to grab first SEC win, beating Mississippi State 35-13 on Saturday."
"Sun, 29 Sep 2024 03:38:25 EST",Sources: Vegas' Adams considered week-to-week,https://www.espn.com/nfl/story/_/id/41499052/sources-raiders-davante-adams-considered-week-week,"Raiders WR Davante Adams is expected to be sidelined on a week-to-week basis with his hamstring injury, sources told ESPN."
"Sun, 29 Sep 2024 03:38:25 EST",Ohtani (.310) closes on NL batting leader Arráez,https://www.espn.com/mlb/story/_/id/41503945/eyeing-triple-crown-ohtani-closes-batting-leader-arraez,"Shohei Ohtani had two hits and raised his average to .310 in his bid to overtake batting leader Luis Arraez and become the National League's first Triple Crown winner since 1937, helping the Los Angeles Dodgers defeat the Colorado Rockies 13-2 Saturday."
"Sun, 29 Sep 2024 03:38:25 EST","Jeanty rumbles for 259 yards, 4 TDs in BSU win",https://www.espn.com/college-football/story/_/id/41504723/ashton-jeanty-rumbles-259-yards-4-tds-boise-state-win,"Ashton Jeanty, who entered the game leading the nation in rushing yards per game, steamrolled Washington State for 259 yards and four touchdowns in Boise State's 45-24 win."
"Sun, 29 Sep 2024 03:38:25 EST","Source: Kamara (hip, ribs) plans to face Falcons",https://www.espn.com/nfl/story/_/id/41501972/source-saints-alvin-kamara-hip-ribs-plans-face-falcons,"Saints running back Alvin Kamara, who is questionable with hip and rib injuries, is planning to play against the Falcons in his native Atlanta, a source told ESPN."
"Sun, 29 Sep 2024 03:38:25 EST",'Business as usual' for 4-0 UNLV without Sluka,https://www.espn.com/college-football/story/_/id/41500500/qb-hajj-malik-williams-unlv-rebels-roll-race-4-0-start,"UNLV made a statement Saturday in its first game without former starting quarterback Matthew Sluka, as Hajj-Malik Williams threw for 182 yards and rushed for 119 more, as the Rebels rolled to a dominant 59-14 victory over Fresno State, improving to 4-0."
"Sun, 29 Sep 2024 03:38:25 EST","Texas State gets offer to join MW, sources say",https://www.espn.com/college-football/story/_/id/41498445/sources-texas-state-gets-offer-join-mountain-west,"Texas State officials have received a verbal offer to join the Mountain West, sources said, and a decision is expected in the coming days."
"Sun, 29 Sep 2024 02:22:36 EST",Best of Week 5: An epic Alabama win and doubt finally creeps in for CFP contenders,https://www.espn.com/college-football/story/_/page/gamedayfinal092824/college-football-week-5-highlights-top-plays-games-takeaways-2024,"After a game for the ages between Alabama and Georgia, certainties of 2024 are proving to be precarious."
